Rank,Experiment,Model,FeatureSet,Parameters,CVMean,CVStd,CVMin,CVMax,OOFAccuracy,Precision,Recall,F1,AUC,Threshold,Notes
33,Pool_KNN,KNN,E10_Group,{},0.8159186491745652,0.011168623735013615,0.797752808988764,0.8324022346368715,0.8159371492704826,0.7947019867549668,0.7017543859649122,0.7453416149068323,0.8745725881187487,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
34,Ablation_E8_FamilySurvival,LogisticRegression,E8_FamilySurvival,{},0.8147950536689473,0.016480518352647917,0.797752808988764,0.8370786516853933,0.8148148148148148,0.7882736156351792,0.7076023391812866,0.7457627118644068,0.883163433781783,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
35,Pool_SVC,SVC,E10_Group,{},0.8114619295712762,0.02250937823211057,0.7808988764044944,0.848314606741573,0.8114478114478114,0.7843137254901961,0.7017543859649122,0.7407407407407407,0.872053387871622,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
36,Ablation_E5_Cabin,LogisticRegression,E5_Cabin,{},0.8114242671520934,0.019204803729752366,0.7921348314606742,0.8370786516853933,0.8114478114478114,0.7620481927710844,0.7397660818713451,0.7507418397626113,0.8587330499898806,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
37,Ablation_E6_SmartAge,LogisticRegression,E6_SmartAge,{},0.8080723118448307,0.014049358466449315,0.7921348314606742,0.8314606741573034,0.8080808080808081,0.7567567567567568,0.7368421052631579,0.7466666666666667,0.8568796003366036,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
38,Ablation_E7_Interactions,LogisticRegression,E7_Interactions,{},0.8058313979034587,0.01870993948417573,0.7752808988764045,0.8314606741573034,0.8058361391694725,0.7717041800643086,0.7017543859649122,0.7350689127105666,0.8673931337146752,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
39,Ablation_E3_Ticket,LogisticRegression,E3_Ticket,{},0.8046826941183853,0.02016711674683895,0.7696629213483146,0.8324022346368715,0.8047138047138047,0.7658227848101266,0.7076023391812866,0.7355623100303952,0.8571139445456386,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
40,B1_Logistic,LogisticRegression,E0_Basic,{},0.8046324775594753,0.042337225752967673,0.7471910112359551,0.8770949720670391,0.8047138047138047,0.7709677419354839,0.6988304093567251,0.7331288343558282,0.849311347585722,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
41,Ablation_E0_Basic,LogisticRegression,E0_Basic,{},0.8046324775594753,0.042337225752967673,0.7471910112359551,0.8770949720670391,0.8047138047138047,0.7709677419354839,0.6988304093567251,0.7331288343558282,0.849311347585722,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
42,Ablation_E4_Fare,LogisticRegression,E4_Fare,{},0.8024543343167408,0.01697305530559474,0.7696629213483146,0.8156424581005587,0.8024691358024691,0.7577639751552795,0.7134502923976608,0.7349397590361446,0.8583868596810789,0.5,seeds=[2026]; age=smart; child<16; combined_frequency=True
43,B0_GenderRule,GenderRule,Sex only,{},0.7867564534231201,0.0,0.7867564534231201,0.7867564534231201,0.7867564534231201,0.7420382165605095,0.6812865497076024,0.7103658536585366,0.7668727830505226,0.5,"female=1, male=0"
