RuleId,Base,Keys,Reference,Support,LowCut,HighCut,LowTarget,MaleHigh,OOFAccuracy,FoldMean,FoldStd,PositivePredictions
R0010,gender,FamilyID,female_master,1,0.25,1.0,female_master,master,0.8395061728395061,0.8329910237900948,0.022647336258253402,151
R0031,gender,FamilyID,female_child16,1,0.25,1.0,female,master,0.8395061728395061,0.8329910237900948,0.022647336258253402,151
R0034,gender,FamilyID,female_child16,1,0.25,1.0,female_master,master,0.8395061728395061,0.8329910237900948,0.022647336258253402,151
R0387,female_child12,FamilyID,female_master,1,0.0,1.0,female_master,none,0.8383838383838383,0.8363567886510578,0.024791665486684416,154
R0411,female_child12,FamilyID,female_child16,1,0.0,1.0,female_master,none,0.8383838383838383,0.8363567886510578,0.024791665486684416,154
R0255,female_master,TicketNormalized,female_master,2,0.0,1.0,female_master,none,0.8372615039281706,0.8363542778231121,0.023563959612577498,164
R0256,female_master,TicketNormalized,female_master,2,0.0,1.0,female_master,master,0.8372615039281706,0.8363542778231121,0.023563959612577498,164
R0257,female_master,TicketNormalized,female_master,2,0.0,1.0,female_master,young,0.8372615039281706,0.8363542778231121,0.023563959612577498,165
R0261,female_master,TicketNormalized,female_master,2,0.25,1.0,female_master,none,0.8372615039281706,0.8363542778231121,0.023563959612577498,164
R0262,female_master,TicketNormalized,female_master,2,0.25,1.0,female_master,master,0.8372615039281706,0.8363542778231121,0.023563959612577498,164
R0263,female_master,TicketNormalized,female_master,2,0.25,1.0,female_master,young,0.8372615039281706,0.8363542778231121,0.023563959612577498,165
R0098,gender,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,151
R0101,gender,FamilyID+TicketNormalized,female_master,1,0.0,1.0,female_master,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,151
R0104,gender,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,150
R0107,gender,FamilyID+TicketNormalized,female_master,1,0.25,1.0,female_master,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,150
R0122,gender,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,151
R0125,gender,FamilyID+TicketNormalized,female_child16,1,0.0,1.0,female_master,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,151
R0128,gender,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,150
R0131,gender,FamilyID+TicketNormalized,female_child16,1,0.25,1.0,female_master,young,0.8372615039281706,0.8334392065783692,0.022731686338210617,150
R0049,gender,TicketNormalized,female_master,1,0.0,1.0,female,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0052,gender,TicketNormalized,female_master,1,0.0,1.0,female_master,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0055,gender,TicketNormalized,female_master,1,0.25,1.0,female,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0058,gender,TicketNormalized,female_master,1,0.25,1.0,female_master,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
R0073,gender,TicketNormalized,female_child16,1,0.0,1.0,female,master,0.8372615039281706,0.8329897683761218,0.023955261781929076,152
